"Census Blockgroup","Children","Children_wNULLvalues","Elderly","Elderly_wNULLvalues","NonWhite","NonWhite_wNullvalues","Poverty","Poverty_wNULLvalues","Education","Education_wNULLvalues","English","English_wNULLvalues","Elevation","SeaLevelRise","Precipitation","Diabetes","MentalHealth","Asthma","Disability","Disability_wNULLvalues","HousingQuality","Homeless","LivAlone","LivAlone_wNULLvalues","FloodHealthIndex","FloodHealthIndex_Quintiles"
"060750177001","0.08403908947",,"0.09700005052",,"0.565","0.565","0.32648124602","0.32648124602","0.78300070645","0.78300070645","0.08500005217",,"2.04311","0","0.0361009","15.677","58.0795","9.961","0.15800007572","0.15800007572","9.86611","13.468","0.45100033999","0.45100033999","78.1593","5"
"060750180002","0.04230103543",,"0.04999998363",,"0.602","0.602","0.29961457624","0.29961457624","0.86399910877","0.86399910877","0.04800009368",,"-5.63326","0.0825639","0.0500197","15.9986","61.9417","10.5559","0.13399977779","0.13399977779","2.26347","19.2683","0.57099901176","0.57099901176","77.8525","5"
"060750230011","0.15826610764",,"0.17900003894",,"0.946",,"0.49657736126",,"0.6190008548","0.6190008548","0.23500015448",,"5.01168","0","0.0310967","23.1528","38.4944","16.0818","0.10700011114",,"4.86381","17.5492","0.16700036074",,"77.2193","5"
"060750161001","0.12108663674","0.12108663674","0.26999919","0.26999919","0.747001","0.747001","0.63120210639","0.63120210639","0.815997552","0.815997552","0.330999007","0.330999007","60.1828","0","0.0207141","15.4969","63.7362","12.9636","0.232999301","0.232999301","3.72671","3.7988","0.518998443","0.518998443","76.5394","5"
"060750234002","0.30034390321",,"0.11599726021","0.11599726021","0.964001",,"0.6293439562","0.6293439562","0.69498370077","0.69498370077","0.15599631332",,"-5.60678","0.0802676","0.010397","23.1982","38.577","16.1143","0.14899645561",,"5.39127","17.613","0.16899602665",,"76.2192","5"
"060750611003","0.13591935918","0.13591935918","0.28800288","0.28800288","0.958","0.958","0.80036500357","0.80036500357","0.36300363","0.36300363","0.71500715","0.71500715","21.2992","0","0.00953898","6.4","20.214","5.0322","0.16100161","0.16100161","5.37634","4.9374","0.44300443","0.44300443","75.8527","5"
"060750201004","0.0798928392","0.0798928392","0.12399971252","0.12399971252","0.651","0.651","0.50970464932","0.50970464932","0.7239986556","0.7239986556","0.23199930126","0.23199930126","13.3651","0","0.00203913","14.5435","44.6513","7.9031","0.23799933297","0.23799933297","10.6317","3.2195","0.5219987944","0.5219987944","75.4995","5"
"060750208001","0.088483","0.088483","0.102","0.102","0.695","0.695","0.42737","0.42737","0.716","0.716","0.19","0.19","13.4626","0","0.0420492","13.9","37.03","6.7351","0.111","0.111","4.68823","3.2195","0.402","0.402","74.546","5"
"060750161003","0.121087","0.121087","0.27","0.27","0.747","0.747","0.631204","0.631204","0.816","0.816","0.331","0.331","76.5","0","0.0701956","12.109","23.2106","5.4658","0.233","0.233","3.38696","3.7988","0.519","0.519","74.5394","5"
"060750176013","0.10983400384","0.10983400384","0.14100000894","0.14100000894","0.733","0.733","0.55086203201","0.55086203201","0.806000028","0.806000028","0.11700000818","0.11700000818","13.3595","0","0.000784223","16.0081","62.0643","10.5897","0.22700001712","0.22700001712","10.0975","19.2683","0.60900002949","0.60900002949","74.4729","5"
"060750161002","0.121087","0.121087","0.27","0.27","0.747","0.747","0.631204","0.631204","0.816","0.816","0.331","0.331","73","0","0.0285327","11.0276","35.0448","7.5797","0.233","0.233","2.13129","3.7988","0.519","0.519","74.2194","5"
"060750101002","0.05853101714","0.05853101714","0.20100003409","0.20100003409","0.55","0.55","0.33333305379","0.33333305379","0.89400014183","0.89400014183","0.18800001613","0.18800001613","-4.97354","0.0902349","0.0029272","5.787","21.339","4.5737","0.1320000128","0.1320000128","2.75755","4.9374","0.52600005986","0.52600005986","74.1993","5"
"060750124022","0.07014347266",,"0.119999075","0.119999075","0.591003","0.591003","0.44745956701","0.44745956701","0.94899287017","0.94899287017","0.14499885792",,"40.4319","0","0.00296698","15.5","63.75","12.9672","0.20899837643","0.20899837643","8.43486","19.2682","0.69099477091","0.69099477091","74.1395","5"
"060759806001","0.11613137008",,"0.14067584657","0.14067584657","0.932087","0.932087","0.45000753571","0.45000753571","0.71502142787","0.71502142787","0.0349264477",,"-42","0.351565","0.000888618","23.018","38.2773","15.9891","0.09216695225",,"1.39179","17.3221","0.26679902897",,"73.9059","5"
"060750612002","0.20726509897",,"0.10500000804",,"0.917",,"0.5037764186",,"0.63600113045","0.63600113045","0.22000016965",,"7.47451","0","0.0063782","23.2","38.58","16.1156","0.09000015265",,"9.48185","17.613","0.26400053933","0.26400053933","73.5194","5"
"060750264022","0.185283","0.185283","0.165","0.165","0.91","0.91","0.178459","0.178459","0.823","0.823","0.167","0.167","51.4698","0","0.00584931","11.2506","16.9016","7.5385","0.101","0.101","8.88611","17.613","0.216","0.216","62.8595","5"
"060750125022","0.04398078009",,"0.24999875","0.24999875","0.868001","0.868001","0.72512337436","0.72512337436","0.56999715","0.56999715","0.418997905","0.418997905","32.5967","0","0.00193155","15.5","63.75","12.9674","0.326998365","0.326998365","2.1164","19.2683","0.672996635","0.672996635","73.1862","5"
"060750208003","0.08848282303","0.08848282303","0.101999796","0.101999796","0.695001","0.695001","0.42736914526","0.42736914526","0.715998568","0.715998568","0.18999962","0.18999962","28.7876","0","0.00723333","13.9","37.03","6.7351","0.110999778","0.110999778","9.47258","3.2195","0.401999196","0.401999196","73.1861","5"
"060750178011","0.018917",,"0.554","0.554","0.741","0.741","0.577931","0.577931","0.64","0.64","0.535","0.535","-0.392771","0","0.000012271","15.9297","61.6605","10.5043","0.452","0.452","3.84442","19.2683","0.678","0.678","73.1729","5"
"060750607002","0.08884100387",,"0.06300000458",,"0.621","0.621","0.22317502743","0.22317502743","0.9590000791","0.9590000791","0.1380000044",,"-1.99789","0.0933219","0.0628603","13.1735","40.1618","7.8483","0.04900001227","0.04900001227","9.80391","17.613","0.36900005228","0.36900005228","73.1725","5"
"060750176014","0.10983410363",,"0.14100017729","0.14100017729","0.732999","0.732999","0.5508626611","0.5508626611","0.80600140209","0.80600140209","0.11700021423","0.11700021423","24.4763","0","0.00115384","16.0085","62.0633","10.5882","0.22700030879","0.22700030879","2.96861","19.2683","0.60900102091","0.60900102091","71.8462","5"
"060750123011","0.05977691074",,"0.33099943109","0.33099943109","0.692001","0.692001","0.73854609324","0.73854609324","0.69099967457","0.69099967457","0.33099954774","0.33099954774","30.7125","0","0","15.5","63.75","12.9674","0.3629994243","0.3629994243","9.34374","11.9301","0.66399944592","0.66399944592","71.813","5"
"060750161004","0.12108697494","0.12108697494","0.26999933208","0.26999933208","0.747","0.747","0.63120263917","0.63120263917","0.81599973002","0.81599973002","0.33099895287","0.33099895287","90.2893","0","0.0426114","12.109","23.2084","5.4654","0.23299945755","0.23299945755","1.65563","3.7988","0.51899886406","0.51899886406","71.2261","5"
"060750208002","0.088483","0.088483","0.102","0.102","0.695","0.695","0.42737","0.42737","0.716","0.716","0.19","0.19","15.3961","0","0.00580859","13.9","37.03","6.7351","0.111","0.111","4.76425","3.2195","0.402","0.402","71.2061","5"
"060750176012","0.10983389017","0.10983389017","0.140999859","0.140999859","0.733","0.733","0.55086144914","0.55086144914","0.805999194","0.805999194","0.116999883","0.116999883","9.34156","0","0","16.0078","62.0657","10.5915","0.226999773","0.226999773","7.33496","19.2683","0.608999391","0.608999391","71.1463","5"
"060750155002","0.06851092708",,"0.33699919687","0.33699919687","0.519","0.519","0.38986110482","0.38986110482","0.85899866054","0.85899866054","0.22399941719",,"99","0","0.0663649","12.1","23.1","5.4453","0.27299928754","0.27299928754","2.21729","3.7988","0.53099900138","0.53099900138","70.8861","5"
"060750155003","0.06851123463",,"0.33700028582","0.33700028582","0.518999","0.518999","0.38986244067","0.38986244067","0.8590020145","0.8590020145","0.22400011488",,"127.819","0","0.0103421","12.1","23.1","5.4453","0.27300014899","0.27300014899","5.49726","3.216","0.5310007954","0.5310007954","70.8595","5"
"060750228021","0.13369433693","0.13369433693","0.1700017","0.1700017","0.663997","0.663997","0.45445154447","0.45445154447","0.81600816","0.81600816","0.09600096",,"33.853","0","0.00722504","13.8747","36.8883","6.7222","0.15100151","0.15100151","7.8696","17.613","0.20800208","0.20800208","70.2061","5"
"060750105002","0.08615656491","0.08615656491","0.266869689","0.266869689","0.40816","0.40816","0.17155781967","0.17155781967","0.944383881","0.944383881","0.045298914",,"-5.6175","0.503456","0.00432662","0","29.377","0","0.073856925","0.073856925","0.743216","4.8628","0.54161745","0.54161745","69.8791","5"
"060750107001","0.09433284672","0.09433284672","0.24299952896","0.24299952896","0.798","0.798","0.55921572945","0.55921572945","0.53999945338","0.53999945338","0.60899829506","0.60899829506","34.0034","0","0.00129861","6.4","20.43","5.0582","0.18699953589","0.18699953589","15.4142","4.9374","0.40799922901",,"69.8329","5"
"060750107003","0.094333","0.094333","0.243","0.243","0.798","0.798","0.559217","0.559217","0.54","0.54","0.609","0.609","32.079","0","0.00115145","6.4","20.43","5.0582","0.187","0.187","19.2351","4.9374","0.408","0.408","69.8329","5"
"060750159002","0.09820110454","0.09820110454","0.22800001155","0.22800001155","0.609","0.609","0.41279433415","0.41279433415","0.92500014445","0.92500014445","0.19500010727","0.19500010727","94.178","0","0.0481529","12.1","23.1","5.4453","0.14000013476","0.14000013476","1.36674","3.7988","0.50699993392","0.50699993392","69.2261","5"
"060750123022","0.027006","0.027006","0.083","0.083","0.594","0.594","0.508488","0.508488","0.942","0.942","0.187","0.187","58.844","0","0.000604806","15.4514","63.4915","12.9138","0.134","0.134","8.94188","8.5435","0.69","0.69","69.1463","5"
"060750122011","0.05616290425",,"0.1239998808","0.1239998808","0.696","0.696","0.46153765952","0.46153765952","0.81699989222","0.81699989222","0.11199995333","0.11199995333","94.2689","0","0.00320096","7.9","30.47","3.8247","0.2189992347","0.2189992347","16.9711","19.2682","0.5939998512","0.5939998512","69.1329","5"
"060750264031","0.1574280112","0.1574280112","0.179373306","0.179373306","0.959812",,"0.509226113","0.509226113","0.662603032","0.662603032","0.33816279","0.33816279","5.71889","0","0.0121491","11.0508","16.586","7.4023","0.092137108","0.092137108","2.36407","17.613","0.195056218","0.195056218","68.9127","5"
"060750233001","0.18770405492","0.18770405492","0.10700002137","0.10700002137","0.925",,"0.26533710829","0.26533710829","0.70600013469","0.70600013469","0.31000002595",,"6.85869","0","0.0205596","23.1784","38.5407","16.1001","0.07100002607","0.07100002607","3.35345","17.613","0.12700003868",,"68.906","5"
"060750230013","0.15826623934","0.15826623934","0.17900016745","0.17900016745","0.946",,"0.49657740118","0.49657740118","0.61900083494","0.61900083494","0.23500019362","0.23500019362","40.2072","0","0.00854089","23.1964","38.5735","16.113","0.10700008304","0.10700008304","1.41243","17.613","0.16700014784",,"68.5861","5"
"060750479012","0.14515994712",,"0.17666772453","0.17666772453","0.576196","0.576196","0.25316912528",,"0.89723226344","0.89723226344","0.08039373423",,"-5.2389","0.0969352","0.00457584","4.3","12.6683","2.7114","0.115131392","0.115131392","6.01374","4.5809","0.31561951776",,"68.5391","5"
"060750117002","0.02715000344",,"0.1030005466",,"0.696999","0.696999","0.37859708614","0.37859708614","0.86200100649","0.86200100649","0.17099960588",,"2.20918","0","0.000200808","6.1773","58.0441","4.1035","0.18700052176",,"36.6636","4.9376","0.63500050356","0.63500050356","68.4729","5"
"060750604001","0.10342671884",,"0.14988529937","0.14988529937","0.572953","0.572953","0.30937581252","0.30937581252","0.75361323684","0.75361323684","0.11220463731",,"-7","0.150102","0.00163051","7.9937","13.7991","3.9467","0.15574673126","0.15574673126","2.12684","0.2602","0.47812571647","0.47812571647","68.2592","5"
"060750264032","0.16061131187","0.16061131187","0.18300018346","0.18300018346","0.959",,"0.51952221509","0.51952221509","0.67600118654","0.67600118654","0.34500020894","0.34500020894","19.16","0","0.00892812","11.2","16.81","7.5022","0.09400011991","0.09400011991","2.50627","17.613","0.19900028068","0.19900028068","68.2394","5"
"060750232001","0.25515204767","0.25515204767","0.1010000339","0.1010000339","0.943",,"0.42764506089","0.42764506089","0.71000021707","0.71000021707","0.092000035",,"0.165285","0","0.00606483","23.2","38.58","16.1156","0.10800001941","0.10800001941","6.88428","17.613","0.26600004401",,"68.1927","5"
"060750257021","0.2169051513","0.2169051513","0.15000008628","0.15000008628","0.906",,"0.42490221398","0.42490221398","0.59300056907","0.59300056907","0.18700024986","0.18700024986","39.0465","0","0.0456571","11.2378","16.8785","7.5294","0.06600005725","0.06600005725","5.1716","6.1946","0.08700010239",,"67.8927","5"
"060750125011","0.095332","0.095332","0.222","0.222","0.726","0.726","0.794754","0.794754","0.695","0.695","0.203","0.203","28.3296","0","0","15.5","63.7497","12.9672","0.425","0.425","2.09974","19.2683","0.732","0.732","67.853","5"
"060750178022","0.084215","0.084215","0.088","0.088","0.584","0.584","0.327362","0.327362","0.843","0.843","0.119","0.119","7.91903","0","0.000990721","16.0125","62.05","10.5693","0.229","0.229","12.3267","19.2683","0.427","0.427","67.8129","5"
"060750264011","0.17438210526",,"0.16500007365","0.16500007365","0.96",,"0.43503432281","0.43503432281","0.650000333","0.650000333","0.31400012466","0.31400012466","46.0526","0","0.00841007","11.2","16.81","7.5022","0.10900007815","0.10900007815","1.91402","17.613","0.16700011655",,"67.2461","5"
"060750208004","0.088483","0.088483","0.102","0.102","0.695","0.695","0.42737","0.42737","0.716","0.716","0.19","0.19","35.7277","0","0.00184849","13.9","37.03","6.7351","0.111","0.111","5.20569","3.2195","0.402","0.402","67.2062","5"
"060750123012","0.05977635381",,"0.33099619246","0.33099619246","0.692003","0.692003","0.73854079982","0.73854079982","0.6909954315","0.6909954315","0.33099761519","0.33099761519","60.0299","0","0","15.4673","63.6068","12.9281","0.36299631124","0.36299631124","2.64971","19.2683","0.66399548807","0.66399548807","67.1797","5"
"060750168021","0.0385790796",,"0.0789998382","0.0789998382","0.422001","0.422001","0.25245281365","0.25245281365","0.90299873975","0.90299873975","0.03999991993",,"39.8524","0","0.00641991","15.5075","63.7252","12.9325","0.12499967816","0.12499967816","5.81395","3.7988","0.55699935374","0.55699935374","66.8461","5"
"060750615002","0.092821","0.092821","0.057",,"0.49","0.49","0.171948","0.171948","0.965","0.965","0.081",,"-2.84302","0","0","2.0667","20.2943","0.9773","0.081",,"3.71829","19.2683","0.474","0.474","42.5196","2"
"060750113001","0.10039172981","0.10039172981","0.3119991686","0.3119991686","0.811001","0.811001","0.56784244524","0.56784244524","0.4969989705","0.4969989705","0.48699859182","0.48699859182","82.2489","0","0.00192379","6.4","15.497","4.4665","0.2299993664","0.2299993664","10.2083","4.9374","0.39199907885","0.39199907885","66.8396","5"
"060750106002","0.09367309954","0.09367309954","0.18000015733","0.18000015733","0.712999","0.712999","0.57942119275","0.57942119275","0.75600105258","0.75600105258","0.33500009196",,"11.3461","0","0","6.3905","20.4441","5.0507","0.13900008531","0.13900008531","14.038","4.9374","0.48100053737","0.48100053737","66.8263","5"
"060750122021","0.06820409519",,"0.09000020834","0.09000020834","0.675999","0.675999","0.57681180151","0.57681180151","0.83400165173","0.83400165173","0.22900022906","0.22900022906","85.2266","0","0.00233038","7.9","30.47","3.8247","0.20500022886","0.20500022886","6.91293","17.743","0.54000118422","0.54000118422","66.8196","5"
"060750124021","0.0701440075",,"0.12000000963","0.12000000963","0.591","0.591","0.44746303761","0.44746303761","0.94900005503","0.94900005503","0.14500000799","0.14500000799","31.2717","0","0","15.5","63.7499","12.9672","0.2090000155","0.2090000155","6.80903","19.2683","0.69100004158","0.69100004158","66.813","5"
"060750160001","0.0380090153","0.0380090153","0.23000002018","0.23000002018","0.502","0.502","0.27390312936","0.27390312936","0.96400018704","0.96400018704","0.10300005136",,"57.8595","0","0.00079063","12.2317","49.4384","9.0357","0.15800004598","0.15800004598","4.27866","3.7988","0.58600012111","0.58600012111","66.5263","5"
"060750104001","0.08983914036","0.08983914036","0.14200027914","0.14200027914","0.434999","0.434999","0.17396344051","0.17396344051","0.95000116148","0.95000116148","0.08300013208",,"2.67431","0","0.0208879","6.4","20.43","5.0582","0.07700010485","0.07700010485","8.53414","4.9374","0.48500049019","0.48500049019","66.4993","5"
"060750162001","0.08179704154",,"0.07000008755","0.07000008755","0.412","0.412","0.32296522796","0.32296522796","0.97700034641","0.97700034641","0.03600010703",,"48.0136","0","0.0627237","15.5","63.75","12.9674","0.09100009026","0.09100009026","10.7829","3.7988","0.64200023252","0.64200023252","66.4927","5"
"060750202002","0.082187","0.082187","0.117","0.117","0.485","0.485","0.328246","0.328246","0.898","0.898","0.079","0.079","28.0016","0","0.00859612","16.0125","62.05","10.5693","0.178","0.178","5.35373","2.1589","0.514","0.514","66.2061","5"
"060750611001","0.13591796","0.13591796","0.28799994157","0.28799994157","0.958","0.958","0.80035663152","0.80035663152","0.36300052237","0.36300052237","0.71499951062",,"0.328464","0","0.000993458","1.1723","28.5067","0.9263","0.16099995721","0.16099995721","8.65801","4.9374","0.44300009385","0.44300009385","66.1662","5"
"060750254032","0.16650580001","0.16650580001","0.12600133175","0.12600133175","0.792998","0.792998","0.36649379304",,"0.82000885296","0.82000885296","0.17700181711",,"9.30935","0","0.0907231","13.8619","36.8079","6.7337","0.12300126479",,"2.98198","3.2195","0.19600208972","0.19600208972","65.926","5"
"060750610001","0.25439674388",,"0.09840963418","0.09840963418","0.887674",,"0.12908674472","0.12908674472","0.85984150352","0.85984150352","0.13121277862",,"-6","0.116232","0.003804","20.9956","34.5823","14.5336","0.07057660541",,"3.28484","17.5348","0.18389678985",,"65.8991","5"
"060750258002","0.21514505588","0.21514505588","0.14000004976","0.14000004976","0.892","0.892","0.42619605382","0.42619605382","0.70300024821","0.70300024821","0.18600005037","0.18600005037","54.9599","0","0.0106334","11.2362","16.8757","7.5282","0.11200003046","0.11200003046","4.25713","14.2216","0.21200006514","0.21200006514","65.8861","5"
"060750229032","0.14691585533","0.14691585533","0.10999989192","0.10999989192","0.681","0.681","0.31745468625","0.31745468625","0.8989991173","0.8989991173","0.06399993646",,"-6.29274","0","0.0154046","13.8884","36.9636","6.7292","0.09799990346","0.09799990346","5.76576","17.5685","0.27099973283","0.27099973283","65.866","5"
"060750264012","0.17438182562","0.17438182562","0.164999835","0.164999835","0.96",,"0.43503356497","0.43503356497","0.64999935","0.64999935","0.313999686","0.313999686","46.0846","0","0.003005","11.2","16.81","7.5022","0.108999891","0.108999891","2.84252","17.613","0.166999833","0.166999833","65.2395","5"
"060750106003","0.093673","0.093673","0.18","0.18","0.713","0.713","0.579421","0.579421","0.756","0.756","0.335","0.335","55.8844","0","0","6.4","20.43","5.0582","0.139","0.139","13.6649","4.9374","0.481","0.481","65.1597","5"
"060750229012","0.20362259275","0.20362259275","0.070999858","0.070999858","0.752001","0.752001","0.42237215525","0.42237215525","0.705998588","0.705998588","0.202999594","0.202999594","26.8071","0","0.011389","13.9","37.03","6.7351","0.11499977","0.11499977","4.79754","3.2195","0.241999516","0.241999516","64.8994","5"
"060750123021","0.02700627006","0.02700627006","0.08300083","0.08300083","0.593996","0.593996","0.50849308488","0.50849308488","0.94200942","0.94200942","0.18700187","0.18700187","80.9116","0","0","11.7026","47.1215","8.3992","0.13400134","0.13400134","10.9138","12.1252","0.6900069","0.6900069","64.8064","5"
"060750352012","0.15499192949","0.15499192949","0.12687797348","0.12687797348","0.673314","0.673314","0.21868967419","0.21868967419","0.85118134709","0.85118134709","0.11189239204","0.11189239204","-5.0342","0.1198","0.0194161","4.8692","8.9413","2.7249","0.08192121524","0.08192121524","2.72387","1.8744","0.24576363264","0.24576363264","64.599","5"
"060750229033","0.14691542539","0.14691542539","0.10999957118","0.10999957118","0.681001","0.681001","0.3174537517","0.3174537517","0.8989964987","0.8989964987","0.06399974667",,"-1.36219","0","0.0109497","13.9","37.03","6.7351","0.09799961651","0.09799961651","6.96622","3.2195","0.27099893826","0.27099893826","64.546","5"
"060750607001","0.08495047493","0.08495047493","0.060241104","0.060241104","0.637597","0.637597","0.2134017204","0.2134017204","0.917003472","0.917003472","0.131956704","0.131956704","-9.19874","0.392933","0.0217367","2.6926","4.0262","1.2786","0.046854192","0.046854192","0.363328","19.0468","0.352840752","0.352840752","64.219","5"
"060750121002","0.00980403213",,"0.10899997685","0.10899997685","0.490001","0.490001","0.37185562436","0.37185562436","0.89799902332","0.89799902332","0.12199981477",,"74.4042","0","0.000223484","10.9785","36.3624","8.3343","0.108999823","0.108999823","10.2936","4.9374","0.59899951262","0.59899951262","64.153","5"
"060750257012","0.18549602827","0.18549602827","0.15400001783","0.15400001783","0.79","0.79","0.2615380424",,"0.66000013783","0.66000013783","0.16200001874",,"5.05103","0","0.0842673","11.214","16.8461","7.5104","0.08200001326",,"1.2747","3.2195","0.18700002985","0.18700002985","63.9393","5"
"060750257022","0.216905027","0.216905027","0.15000003054","0.15000003054","0.906",,"0.42490208472","0.42490208472","0.5930001056","0.5930001056","0.18700004009","0.18700004009","17.5707","0","0.00441322","11.2646","16.9272","7.5486","0.06600001825","0.06600001825","3.89963","6.6462","0.08700002849",,"63.9061","5"
"060750231031","0.45220942623",,"0.03499423435",,"0.926012",,"0.84001152046",,"0.7408780127","0.7408780127","0.08498600421",,"-6","0.266661","0.00125631","23.1977","38.5762","16.114","0.12597924911",,"1.02171","17.613","0.29095208825",,"63.8992","5"
"060750105001","0.08609189109","0.08609189109","0.26666931079","0.26666931079","0.408605","0.408605","0.17142919985","0.17142919985","0.94367489828","0.94367489828","0.04526507622",,"-9.12355","0.215732","0.000270616","0.0005","29.9187","0.0004","0.07380152242","0.07380152242","2.31711","4.8573","0.5412108607","0.5412108607","63.8726","5"
"060750107004","0.094333","0.094333","0.243","0.243","0.798","0.798","0.559217","0.559217","0.54","0.54","0.609","0.609","61.4258","0","0","6.4","20.43","5.0582","0.187","0.187","9.51391","4.9374","0.408","0.408","63.8397","5"
"060750106001","0.093673","0.093673","0.18","0.18","0.713","0.713","0.579421","0.579421","0.756","0.756","0.335","0.335","83.3807","0","0","6.4","20.43","5.0582","0.139","0.139","15.3509","4.9374","0.481","0.481","63.8264","5"
"060750611002","0.135918","0.135918","0.288","0.288","0.958","0.958","0.800357","0.800357","0.363","0.363","0.715","0.715","14.0666","0","0","6.3907","9.9926","3.7973","0.161","0.161","12.0092","4.9374","0.443","0.443","63.8263","5"
